id,created_at,text
4.85907E+17,7/6/14 22:05,Yes
4.85818E+17,7/6/14 16:08,Yes
4.85558E+17,7/5/14 22:57,No
4.85522E+17,7/5/14 20:34,Yes
4.85183E+17,7/4/14 22:05,Yes
4.85137E+17,7/4/14 19:05,Yes
4.85092E+17,7/4/14 16:07,Yes
4.8482E+17,7/3/14 22:05,No
4.84731E+17,7/3/14 16:08,No
4.84477E+17,7/2/14 23:19,Yes
4.84137E+17,7/2/14 0:51,Yes
4.84059E+17,7/1/14 19:39,Yes
4.84006E+17,7/1/14 16:10,Yes
4.8378E+17,7/1/14 1:10,Yes
4.83692E+17,6/30/14 19:21,Yes
4.83643E+17,6/30/14 16:05,No
4.83343E+17,6/29/14 20:16,No
4.83018E+17,6/28/14 22:43,No
4.82647E+17,6/27/14 22:08,No
4.82201E+17,6/26/14 16:38,No
4.81844E+17,6/25/14 16:59,No
4.81468E+17,6/24/14 16:05,No
4.81203E+17,6/23/14 22:33,Yes
4.81162E+17,6/23/14 19:50,Yes
4.81127E+17,6/23/14 17:29,Yes
4.80791E+17,6/22/14 19:13,Yes
4.80509E+17,6/22/14 0:32,Yes
4.804E+17,6/21/14 17:19,Yes
4.80037E+17,6/20/14 17:17,No
4.79753E+17,6/19/14 22:30,Yes
4.79705E+17,6/19/14 19:17,Yes
4.79656E+17,6/19/14 16:05,No
4.79384E+17,6/18/14 22:05,No
4.79294E+17,6/18/14 16:06,Yes
4.79022E+17,6/17/14 22:05,No
4.78984E+17,6/17/14 19:35,No
4.78932E+17,6/17/14 16:05,No
4.7866E+17,6/16/14 22:08,No
4.7857E+17,6/16/14 16:09,No
4.78268E+17,6/15/14 20:07,No
